Course,UCAS,25 Above,Disability,Ethnicity,Gender,British,English native Language,Parent He attendance,Polar 4 Score,SLC,Care Leaver,Student Visa,Refugee,London Permanent Residence,UCAS Points,English,Maths,A Levels,Btec,Previous work,Bursary,Attendance,AWM year 1,AWM year 2,AWM year 3,Overall AWM,Progress,First Sit,Second Sit,Fails,No Submissions,Late Submission,Pass,Re Takes,desertion
BA Business Management,yes,no,no,Other ethnic background,Male,yes,no,yes,5.0,yes,no,no,no,yes,80.0,5.0,5.0,yes,,no,no,90,69,46.0,48.0,54.333333333333336,yes,3,3.0,0,1,2,100.0,no,no
BA Business Management,yes,no,no,Black/Black British African,Female,no,no,no,,no,no,yes,no,no,135.0,5.0,5.0,yes,,yes,no,94,76,78.0,46.0,66.66666666666667,yes,5,1.0,0,4,3,100.0,no,no
BA Business Management,yes,no,no,White,Male,no,no,yes,1.0,yes,no,yes,no,no,125.0,3.0,4.0,yes,,yes,no,59,58,36.0,,47.0,no,3,3.0,5,0,2,83.33333333333333,no,yes
BA Business Management,yes,no,no,Black/Black British African,Female,no,no,no,3.0,yes,yes,no,no,no,104.0,6.0,7.0,yes,no,yes,yes,58,50,33.0,,41.5,no,4,2.0,5,1,0,83.33333333333333,no,yes
BA Business Management,yes,no,no,Asian,Male,yes,no,yes,3.0,no,,no,no,yes,128.0,4.0,4.0,no,yes,no,no,81,77,53.0,83.0,71.0,yes,6,0.0,0,0,1,100.0,no,no
BA Business Management,yes,no,no,White,Male,yes,no,no,4.0,yes,no,no,no,yes,80.0,4.0,4.0,yes,,no,no,95,48,83.0,73.0,68.0,yes,6,0.0,0,0,1,100.0,no,no
BA Business Management,yes,no,no,White,Male,yes,yes,no,4.0,yes,no,no,no,no,102.0,3.0,4.0,yes,yes,yes,no,55,46,36.0,,41.0,no,3,3.0,2,2,1,33.333333333333336,no,yes
BA Business Management,yes,no,no,Other ethnic background,Male,yes,no,yes,4.0,yes,no,no,no,yes,123.0,3.0,4.0,no,yes,no,,69,44,40.0,41.0,41.666666666666664,yes,4,2.0,0,0,0,100.0,no,no
BA Business Management,yes,no,yes,White,Male,no,no,no,3.0,no,no,yes,no,no,120.0,,,yes,,no,yes,60,69,65.0,80.0,71.33333333333333,yes,3,3.0,0,2,0,100.0,no,no
BA Business Management,yes,no,no,White,Male,no,no,yes,5.0,no,no,no,no,yes,144.0,4.0,4.0,no,yes,no,,85,72,61.0,61.0,64.66666666666667,yes,4,2.0,0,0,1,100.0,no,no
BA Business Management,yes,no,no,Other ethnic background,Male,yes,no,yes,4.0,yes,no,no,no,yes,160.0,4.0,5.0,no,yes,no,,94,65,84.0,44.0,64.33333333333333,yes,3,3.0,0,1,0,100.0,yes,no
BA Business Management,yes,no,no,White,Female,no,no,no,4.0,yes,,no,no,yes,122.0,3.0,2.0,no,yes,no,,92,56,82.0,80.0,72.66666666666667,yes,5,1.0,0,1,1,100.0,no,no
BA Business Management,yes,no,no,White,Female,no,no,no,3.0,no,,yes,no,no,,8.0,7.0,yes,no,no,,98,47,57.0,44.0,49.333333333333336,yes,5,1.0,0,1,0,100.0,no,no
BA Business Management,yes,no,yes,White,Male,no,no,no,5.0,yes,,yes,no,no,152.0,,,yes,no,no,yes,86,61,51.0,72.0,61.333333333333336,yes,3,3.0,0,1,0,100.0,no,no
BA Business Management,yes,no,no,White,Female,yes,yes,no,1.0,yes,,no,no,no,168.0,8.0,7.0,yes,no,yes,yes,95,60,66.0,72.0,66.0,yes,3,3.0,0,0,2,100.0,no,no
BA Business Management,yes,no,no,Black/Black British African,Male,no,yes,no,2.0,no,,no,yes,no,108.0,3.0,2.0,yes,no,no,yes,41,31,,,31.0,no,1,1.0,4,4,3,66.66666666666667,yes,yes
BA Business Management,yes,no,no,Asian,Female,yes,yes,yes,4.0,yes,no,no,no,yes,120.0,5.0,4.0,yes,,yes,,64,59,50.0,52.0,53.666666666666664,yes,6,0.0,0,0,0,100.0,no,no
BA Business Management,yes,no,no,Asian,Female,no,no,no,3.0,no,no,yes,no,no,128.0,,,yes,,yes,,73,80,50.0,44.0,58.0,yes,5,1.0,0,0,0,100.0,no,no
BA Business Management,yes,no,no,Asian,Male,yes,yes,no,4.0,yes,no,no,no,yes,101.0,5.0,5.0,no,yes,no,no,85,60,53.0,73.0,62.0,yes,3,3.0,0,1,2,100.0,no,no
BA Business Management,yes,yes,no,Black/Black British African,Female,no,yes,no,,no,no,yes,no,no,,,,yes,,yes,no,61,59,78.0,56.0,64.33333333333333,yes,6,0.0,0,0,1,100.0,no,no
BA Business Management,yes,no,no,Asian,Male,yes,no,yes,4.0,yes,no,no,no,yes,96.0,5.0,5.0,yes,,no,no,63,52,57.0,43.0,50.666666666666664,yes,6,0.0,0,0,1,100.0,no,no
BA Business Management,yes,no,no,Asian,Female,yes,yes,no,3.0,yes,no,no,no,no,96.0,4.0,3.0,yes,,yes,no,47,50,,,50.0,yes,1,5.0,0,3,2,100.0,no,yes
BA Business Management,yes,no,no,White,Male,yes,no,yes,5.0,yes,no,no,no,yes,122.0,3.0,,no,,yes,no,71,42,55.0,64.0,53.666666666666664,yes,5,1.0,0,1,0,100.0,no,no
BA Business Management,yes,no,no,White,Female,,yes,yes,1.0,yes,no,no,no,no,106.0,6.0,5.0,yes,,no,no,67,44,69.0,52.0,55.0,yes,3,3.0,0,0,0,100.0,no,no
BA Business Management,yes,no,no,White,Male,,yes,yes,4.0,yes,no,no,no,no,112.0,5.0,4.0,yes,,no,no,54,41,51.0,53.0,48.333333333333336,yes,6,0.0,0,0,0,100.0,no,no
BA Business Management,yes,no,no,Black/Black British African,Female,,yes,yes,,yes,no,no,no,no,104.0,6.0,4.0,yes,,no,no,87,47,78.0,37.0,54.0,no,5,1.0,5,0,2,83.33333333333333,yes,no
BA Business Management,yes,no,no,White,Male,,yes,no,3.0,yes,no,no,no,yes,128.0,6.0,6.0,no,yes,yes,no,64,61,46.0,72.0,59.666666666666664,yes,5,1.0,0,1,1,100.0,no,no
BA Business Management,yes,no,no,White,Female,no,no,no,2.0,no,,no,yes,yes,93.0,5.0,5.0,yes,no,yes,yes,56,41,,,41.0,yes,4,2.0,0,1,0,100.0,no,yes
BA Business Management,yes,no,no,White,Male,,yes,no,3.0,yes,,no,no,no,96.0,6.0,5.0,no,yes,yes,no,66,81,59.0,85.0,75.0,yes,3,3.0,0,0,1,100.0,no,no
BA Business Management,yes,no,no,Other ethnic background,Male,,yes,yes,3.0,no,,no,no,yes,88.0,,5.0,no,yes,no,no,98,41,63.0,43.0,49.0,yes,3,3.0,0,2,0,100.0,no,no
BA Business Management,yes,no,no,Other ethnic background,Male,no,no,yes,,no,,yes,no,no,,,,yes,no,no,no,87,57,72.0,68.0,65.66666666666667,yes,4,2.0,0,1,1,100.0,no,no
BA Business Management,yes,no,no,Other ethnic background,Male,,yes,no,3.0,yes,,no,no,yes,84.0,4.0,3.0,no,yes,yes,,89,54,49.0,75.0,59.333333333333336,yes,3,3.0,0,0,0,100.0,no,no
BA Business Management,yes,no,no,Asian,Female,,yes,no,3.0,yes,,no,no,yes,84.0,5.0,4.0,no,yes,yes,no,86,49,78.0,47.0,58.0,yes,4,2.0,0,3,2,100.0,yes,no
BA Business Management Enterpreneurship and Innovation,yes,no,no,White,Male,no,no,no,4.0,yes,,no,no,yes,82.0,4.0,3.0,yes,no,no,,100,50,70.0,45.0,55.0,yes,4,2.0,0,0,1,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,no,no,White,Female,yes,yes,no,4.0,yes,no,no,no,yes,144.0,4.0,4.0,no,yes,yes,no,57,62,,,62.0,yes,2,4.0,0,2,1,100.0,no,yes
BA Business Management Enterpreneurship and Innovation,yes,no,no,White,Male,yes,yes,,1.0,yes,no,no,no,no,72.0,5.0,5.0,yes,,yes,yes,79,47,59.0,73.0,59.666666666666664,yes,3,3.0,0,2,1,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,no,yes,White,Female,yes,yes,,2.0,yes,no,no,no,yes,104.0,4.0,3.0,yes,yes,yes,yes,44,31,,,31.0,no,4,1.0,1,1,1,16.666666666666668,no,yes
BA Business Management Enterpreneurship and Innovation,yes,no,yes,Asian,Male,yes,no,yes,5.0,yes,no,no,no,yes,80.0,7.0,6.0,yes,,no,yes,97,80,81.0,52.0,71.0,yes,5,1.0,0,0,0,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,no,yes,White,Male,yes,yes,yes,5.0,yes,no,no,no,no,128.0,5.0,5.0,no,yes,yes,yes,82,51,75.0,84.0,70.0,yes,3,3.0,0,3,1,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,no,no,Asian,Male,yes,no,no,,no,no,no,no,no,96.0,5.0,5.0,yes,,yes,,67,54,50.0,42.0,48.666666666666664,yes,3,3.0,0,0,0,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,no,no,Black/Black British African,Female,no,no,no,,no,no,yes,no,no,,,,yes,no,no,no,90,54,60.0,55.0,56.333333333333336,yes,3,3.0,0,0,2,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,no,no,Asian,Male,yes,yes,no,4.0,yes,no,no,no,yes,96.0,6.0,4.0,yes,no,no,,51,35,,,35.0,no,5,,4,0,1,66.66666666666667,no,yes
BA Business Management Enterpreneurship and Innovation,yes,no,no,Black/Black British African,Male,,yes,yes,5.0,yes,no,no,no,yes,114.0,3.0,7.0,yes,yes,yes,no,99,80,58.0,77.0,71.66666666666667,yes,4,2.0,0,3,2,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,no,no,White,Male,yes,yes,no,5.0,yes,no,no,no,yes,96.0,6.0,5.0,yes,no,yes,no,65,43,,,43.0,yes,1,5.0,0,3,0,100.0,no,yes
BA Business Management Enterpreneurship and Innovation,yes,no,no,White,Male,yes,yes,yes,3.0,yes,no,no,no,yes,146.0,4.0,4.0,no,yes,no,no,70,73,57.0,78.0,69.33333333333333,yes,4,2.0,0,3,0,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,no,no,White,Male,yes,yes,no,3.0,yes,no,no,no,yes,129.0,4.0,6.0,no,yes,no,no,54,42,45.0,78.0,55.0,yes,3,3.0,0,2,1,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,no,no,White,Female,yes,yes,yes,1.0,yes,no,no,no,yes,120.0,7.0,7.0,no,yes,no,yes,91,56,62.0,64.0,60.666666666666664,yes,6,0.0,0,0,0,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,no,no,White,Male,yes,no,no,2.0,no,no,no,no,no,88.0,5.0,5.0,yes,no,no,yes,86,79,62.0,61.0,67.33333333333333,yes,3,3.0,0,4,1,100.0,yes,no
BA Business Management Enterpreneurship and Innovation,yes,no,no,White,Male,yes,yes,yes,2.0,no,no,no,no,no,80.0,5.0,4.0,yes,no,yes,yes,58,38,,,38.0,no,2,2.0,2,2,1,33.333333333333336,no,yes
BA Business Management Enterpreneurship and Innovation,yes,no,no,White,Male,yes,yes,no,4.0,yes,,no,no,yes,128.0,4.0,4.0,no,yes,yes,no,80,42,76.0,74.0,64.0,yes,3,3.0,0,0,2,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,no,no,Black/Black British African,Male,no,yes,no,4.0,yes,yes,no,yes,yes,80.0,4.0,4.0,no,yes,no,yes,65,45,71.0,74.0,63.333333333333336,yes,5,1.0,0,1,0,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,no,no,Black/Black British African,Male,yes,yes,no,4.0,yes,no,no,no,yes,120.0,5.0,4.0,no,yes,no,no,72,43,77.0,77.0,65.66666666666667,yes,5,1.0,0,1,1,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,no,no,Asian,Male,,no,yes,4.0,yes,no,no,no,yes,88.0,4.0,4.0,no,yes,yes,no,65,80,66.0,69.0,71.66666666666667,yes,5,1.0,0,2,0,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,no,no,Asian,Female,no,no,no,,yes,no,no,no,no,87.0,,,yes,no,yes,no,82,45,60.0,75.0,60.0,yes,5,1.0,0,1,0,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,no,no,White,Male,,yes,yes,3.0,yes,no,no,no,yes,114.0,7.0,5.0,yes,no,yes,no,72,65,81.0,76.0,74.0,yes,5,1.0,0,0,0,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,yes,no,White,Female,,yes,yes,5.0,yes,no,no,no,yes,90.0,,,yes,no,yes,no,55,40,30.0,,35.0,no,2,0.0,4,1,1,66.66666666666667,no,yes
BA Business Management Enterpreneurship and Innovation,yes,no,no,Asian,Male,,yes,yes,4.0,yes,no,no,no,yes,112.0,3.0,5.0,yes,yes,yes,,81,55,73.0,41.0,56.333333333333336,yes,5,1.0,0,0,1,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,no,no,White,Male,,yes,yes,5.0,yes,no,no,no,yes,128.0,3.0,5.0,yes,no,yes,no,94,48,84.0,42.0,58.0,yes,3,3.0,0,2,0,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,no,no,White,Male,,yes,yes,2.0,yes,no,no,no,no,112.0,4.0,6.0,yes,,no,yes,73,75,53.0,77.0,68.33333333333333,yes,6,0.0,0,1,1,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,no,no,Black/Black British African,Male,,yes,no,3.0,yes,no,no,no,yes,128.0,4.0,4.0,yes,no,no,no,84,60,46.0,47.0,51.0,yes,6,0.0,0,0,1,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,no,no,Asian,Male,,no,no,5.0,yes,no,no,no,yes,84.0,4.0,4.0,yes,yes,no,no,89,66,71.0,64.0,67.0,yes,3,3.0,0,1,0,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,no,no,White,Male,no,no,no,4.0,yes,no,no,no,yes,117.0,4.0,4.0,yes,no,no,no,70,47,42.0,80.0,56.333333333333336,yes,5,1.0,0,0,1,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,no,no,White,Female,no,no,no,1.0,yes,,no,no,yes,148.0,4.0,6.0,yes,yes,no,yes,88,56,83.0,56.0,65.0,yes,3,3.0,0,3,2,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,no,no,White,Male,,yes,yes,3.0,yes,,no,no,yes,168.0,4.0,5.0,no,yes,no,no,90,59,69.0,64.0,64.0,yes,3,3.0,0,2,2,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,no,no,Asian,Male,,yes,no,2.0,yes,,no,no,yes,82.0,4.0,4.0,no,yes,no,yes,98,43,68.0,43.0,51.333333333333336,yes,3,3.0,0,1,1,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,no,no,White,Male,no,no,yes,4.0,yes,,no,no,yes,96.0,4.0,4.0,no,no,no,no,74,45,59.0,41.0,48.333333333333336,yes,6,0.0,0,1,0,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,no,no,White,Male,,no,no,2.0,no,,no,no,no,86.0,5.0,4.0,no,no,yes,yes,100,63,41.0,61.0,55.0,yes,3,3.0,0,0,0,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,yes,no,Asian,Female,no,no,no,3.0,no,,yes,no,no,,,,yes,no,no,no,83,57,53.0,65.0,58.333333333333336,yes,5,1.0,0,4,2,100.0,no,no
Ba,yes,no,no,White,Male,yes,yes,yes,5.0,yes,,no,no,yes,100.0,7.0,7.0,yes,no,no,no,85,48,74.0,49.0,57.0,yes,3,3.0,0,0,0,100.0,no,no
ba,yes,no,no,White,Female,no,no,yes,5.0,no,no,no,no,no,91.0,,,no,no,no,,63,49,70.0,78.0,65.66666666666667,yes,3,3.0,0,3,2,100.0,no,no
ba,yes,no,yes,Black/Black British African,Female,no,yes,no,5.0,yes,no,no,no,no,95.0,5.0,5.0,yes,,yes,yes,79,71,51.0,42.0,54.666666666666664,yes,5,1.0,0,3,3,100.0,no,no
ba,yes,no,yes,White,Female,no,yes,no,3.0,no,no,yes,no,no,,5.0,5.0,no,no,no,yes,95,46,74.0,60.0,60.0,yes,6,0.0,0,0,1,100.0,no,no
ba,yes,no,no,Black/Black British African,Male,yes,yes,no,2.0,no,no,no,no,yes,80.0,4.0,6.0,yes,no,yes,yes,90,69,80.0,58.0,69.0,yes,6,0.0,0,0,1,100.0,no,no
ba,yes,no,no,White,Female,yes,yes,no,4.0,yes,no,no,no,yes,102.0,5.0,3.0,no,yes,yes,no,99,47,62.0,58.0,55.666666666666664,yes,3,3.0,0,1,2,100.0,no,no
ba,yes,no,no,Asian,Male,yes,yes,yes,4.0,yes,no,no,no,no,88.0,3.0,4.0,yes,,no,no,81,46,73.0,74.0,64.33333333333333,yes,4,2.0,0,0,1,100.0,no,no
ba,yes,no,no,White,Male,no,no,,4.0,yes,no,no,no,no,93.0,,,no,yes,no,no,41,42,34.0,,38.0,no,2,0.0,5,0,0,83.33333333333333,no,yes
ba,yes,no,no,Asian,Male,yes,yes,yes,4.0,yes,no,no,no,yes,96.0,6.0,4.0,no,no,no,,60,73,40.0,57.0,56.666666666666664,yes,4,2.0,0,1,0,100.0,no,no
ba,yes,no,no,Black/Black British African,Male,no,no,,,no,no,yes,no,no,,,,no,no,yes,no,83,54,71.0,55.0,60.0,yes,3,3.0,0,4,1,100.0,yes,no
ba,yes,no,no,White,Female,yes,yes,yes,1.0,yes,no,no,no,yes,80.0,5.0,4.0,no,yes,yes,yes,72,48,71.0,63.0,60.666666666666664,yes,5,1.0,0,1,1,100.0,no,no
ba,yes,no,yes,White,Male,no,no,yes,,no,,yes,no,,,,,yes,no,yes,yes,86,46,55.0,37.0,46.0,no,4,2.0,5,0,0,83.33333333333333,no,no
ba,yes,no,no,White,Male,yes,yes,no,5.0,yes,,no,no,yes,113.0,4.0,6.0,no,no,yes,no,68,53,78.0,44.0,58.333333333333336,yes,3,3.0,0,2,0,100.0,no,no
ba,yes,no,no,Asian,Female,yes,yes,yes,3.0,yes,,no,no,yes,96.0,4.0,,no,yes,no,no,86,71,78.0,52.0,67.0,yes,4,2.0,0,0,1,100.0,no,no
ba,yes,no,no,White,Male,no,no,no,3.0,yes,,no,no,no,144.0,4.0,5.0,no,yes,yes,no,60,43,79.0,80.0,67.33333333333333,yes,3,3.0,0,2,1,100.0,no,no
ba,yes,no,no,White,Male,no,no,no,,no,,yes,no,no,,,,no,no,no,no,97,43,64.0,31.0,46.0,no,3,3.0,3,0,1,50.0,no,no
ba,yes,no,no,White,Female,no,no,no,,no,,yes,no,no,88.0,,4.0,no,no,no,,93,69,65.0,73.0,69.0,yes,5,1.0,0,2,0,100.0,no,no
ba,yes,no,no,White,Female,no,no,no,4.0,yes,,no,no,yes,112.0,5.0,4.0,yes,no,no,,68,41,52.0,70.0,54.333333333333336,yes,5,1.0,0,2,1,100.0,no,no
ba,yes,no,no,Asian,Female,yes,yes,no,3.0,yes,no,no,no,yes,112.0,5.0,3.0,no,yes,yes,,98,58,71.0,73.0,67.33333333333333,yes,3,3.0,0,0,0,100.0,no,no
ba,yes,no,no,Asian,Female,yes,yes,no,3.0,yes,no,no,no,yes,162.0,6.0,6.0,no,yes,no,,88,63,50.0,37.0,50.0,no,3,3.0,4,4,2,66.66666666666667,yes,no
ba,yes,no,no,White,Male,yes,no,no,4.0,yes,no,no,no,no,84.0,5.0,5.0,no,yes,yes,no,60,42,56.0,63.0,53.666666666666664,yes,5,1.0,0,4,0,100.0,no,no
ba,yes,no,no,Other ethnic background,Female,no,no,no,,yes,no,yes,no,no,104.0,,,yes,no,no,no,66,45,65.0,79.0,63.0,yes,3,3.0,0,2,1,100.0,no,no
ba,yes,no,no,White,Male,no,no,no,5.0,yes,no,no,no,yes,110.0,,,no,no,yes,no,92,78,76.0,52.0,68.66666666666667,yes,3,3.0,0,1,0,100.0,no,no
ba,yes,no,no,Asian,Male,yes,no,no,5.0,yes,no,no,no,yes,96.0,4.0,4.0,no,yes,yes,no,67,83,70.0,42.0,65.0,yes,3,3.0,0,0,1,100.0,no,no
ba,yes,no,no,Asian,Male,yes,no,no,3.0,yes,no,no,no,yes,96.0,4.0,5.0,yes,,no,no,75,41,79.0,35.0,51.666666666666664,no,4,2.0,5,3,1,83.33333333333333,yes,no
ba,yes,no,no,White,Female,yes,,yes,4.0,yes,no,no,no,no,96.0,5.0,5.0,yes,no,yes,no,47,30,,,30.0,no,2,1.0,1,1,2,16.666666666666668,no,yes
ba,yes,no,no,White,Male,yes,,yes,4.0,yes,no,no,no,yes,114.0,3.0,4.0,no,yes,yes,no,71,50,55.0,66.0,57.0,yes,3,3.0,0,0,1,100.0,no,no
ba,yes,no,no,White,Male,yes,yes,no,4.0,yes,no,no,no,yes,84.0,6.0,4.0,yes,no,yes,no,64,65,47.0,65.0,59.0,yes,4,2.0,0,1,1,100.0,no,no
ba,yes,no,no,White,Male,yes,yes,yes,1.0,yes,no,no,no,yes,104.0,5.0,4.0,yes,no,yes,yes,86,41,80.0,63.0,61.333333333333336,yes,6,0.0,0,0,0,100.0,no,no
ba,yes,no,no,White,Female,yes,yes,yes,4.0,yes,no,no,no,yes,91.0,4.0,4.0,yes,no,no,,63,73,55.0,59.0,62.333333333333336,yes,3,3.0,0,1,1,100.0,no,no
ba,yes,no,no,White,Male,yes,yes,yes,5.0,yes,no,no,no,yes,98.0,5.0,4.0,no,yes,yes,,79,79,80.0,60.0,73.0,yes,3,3.0,0,0,0,100.0,no,no
ba,yes,no,no,White,Female,yes,yes,no,4.0,yes,,no,no,yes,84.0,6.0,4.0,yes,no,yes,,83,47,74.0,40.0,53.666666666666664,yes,3,3.0,0,2,0,100.0,no,no
ba,yes,no,no,Asian,Male,yes,yes,no,4.0,yes,,no,no,yes,136.0,4.0,5.0,no,yes,no,no,83,57,64.0,70.0,63.666666666666664,yes,3,3.0,0,1,2,100.0,no,no
ba,yes,no,no,Black/Black British African,Male,,yes,yes,4.0,yes,,no,no,yes,91.0,4.0,4.0,no,yes,yes,no,69,53,48.0,77.0,59.333333333333336,yes,3,3.0,0,1,2,100.0,no,no
ba,yes,no,no,White,Female,no,no,no,5.0,yes,,no,no,yes,92.0,,,no,no,yes,no,60,84,55.0,60.0,66.33333333333333,yes,5,1.0,0,2,2,100.0,no,no
ba,yes,no,no,White,Male,yes,no,yes,5.0,yes,,no,no,yes,88.0,4.0,6.0,no,yes,yes,no,68,52,76.0,46.0,58.0,yes,5,1.0,0,1,1,100.0,no,no
ba,yes,no,no,Black/Black British African,Female,no,no,no,5.0,no,,no,yes,yes,118.0,6.0,,yes,no,yes,yes,100,49,41.0,77.0,55.666666666666664,yes,6,0.0,0,0,0,100.0,no,no
ba,yes,no,no,White,Male,no,no,no,2.0,yes,,no,no,no,101.0,5.0,5.0,yes,no,yes,yes,42,40,42.0,65.0,49.0,yes,1,5.0,0,4,0,100.0,yes,no
ba,yes,no,no,White,Male,yes,no,yes,5.0,yes,,no,no,no,103.0,5.0,4.0,no,yes,yes,no,42,41,81.0,76.0,66.0,yes,3,3.0,0,2,2,100.0,no,no
ba,yes,no,no,White,Male,yes,yes,no,2.0,yes,,no,no,yes,114.0,5.0,6.0,no,yes,no,yes,74,68,49.0,80.0,65.66666666666667,yes,3,3.0,0,2,2,100.0,no,no
ba,yes,no,no,Asian,Male,yes,no,yes,5.0,yes,no,no,no,yes,98.0,4.0,4.0,no,yes,yes,,85,42,64.0,82.0,62.666666666666664,yes,6,0.0,0,0,0,100.0,no,no
ba,yes,yes,no,Other ethnic background,Female,yes,no,yes,4.0,yes,yes,no,no,yes,103.0,,,no,yes,yes,yes,68,77,75.0,50.0,67.33333333333333,yes,6,0.0,0,0,1,100.0,no,no
ba,yes,no,no,Other ethnic background,Male,no,no,no,,no,no,no,no,no,99.0,5.0,4.0,yes,no,yes,no,67,70,72.0,55.0,65.66666666666667,yes,6,0.0,0,0,1,100.0,no,no
ba,yes,no,no,White,Female,yes,yes,no,5.0,yes,no,no,no,yes,111.0,8.0,5.0,yes,no,yes,,93,49,48.0,84.0,60.333333333333336,yes,4,2.0,0,1,1,100.0,no,no
ba,yes,no,yes,White,Male,yes,yes,yes,4.0,yes,no,no,no,no,125.0,8.0,7.0,no,yes,yes,yes,62,64,79.0,39.0,60.666666666666664,no,5,1.0,3,1,0,50.0,yes,no
ba,yes,no,no,Asian,Male,yes,no,no,1.0,yes,no,no,no,yes,96.0,6.0,7.0,yes,,yes,yes,78,78,79.0,70.0,75.66666666666667,yes,3,3.0,0,2,1,100.0,no,no
ba,yes,no,no,Asian,Male,yes,yes,no,3.0,yes,no,no,no,yes,100.0,4.0,4.0,no,yes,yes,no,81,82,65.0,84.0,77.0,yes,3,3.0,0,4,1,100.0,yes,no
ba,yes,no,no,Other ethnic background,Male,yes,yes,yes,4.0,yes,no,no,no,yes,111.0,5.0,6.0,yes,,no,no,96,79,83.0,80.0,80.66666666666667,yes,5,1.0,0,1,0,100.0,no,no
ba,yes,no,no,White,Female,,yes,yes,5.0,yes,no,no,no,yes,109.0,5.0,6.0,no,yes,yes,no,98,51,70.0,57.0,59.333333333333336,yes,5,1.0,0,3,1,100.0,no,no
ba,yes,no,yes,White,Male,yes,yes,yes,4.0,yes,no,no,no,no,106.0,2.0,5.0,no,yes,yes,yes,63,76,46.0,61.0,61.0,yes,4,2.0,0,1,0,100.0,no,no
ba,yes,no,no,White,Female,no,no,no,3.0,yes,no,no,no,no,103.0,5.0,6.0,yes,,yes,no,60,57,59.0,40.0,52.0,yes,3,3.0,0,4,1,100.0,yes,no
ba,yes,no,no,Other ethnic background,Male,yes,no,no,4.0,yes,no,no,no,yes,112.0,5.0,4.0,no,yes,no,no,94,71,81.0,50.0,67.33333333333333,yes,3,3.0,0,2,1,100.0,yes,no
ba,yes,no,no,White,Female,no,yes,yes,1.0,yes,no,no,no,yes,168.0,6.0,7.0,yes,no,yes,,87,55,55.0,51.0,53.0,yes,6,0.0,0,0,1,100.0,no,no
ba,yes,no,no,Asian,Male,yes,yes,yes,4.0,yes,no,no,no,yes,95.0,5.0,4.0,no,yes,yes,no,94,59,75.0,50.0,61.333333333333336,yes,3,3.0,0,0,0,100.0,no,no
ba,yes,no,no,Other ethnic background,Female,yes,yes,no,4.0,yes,no,no,no,yes,100.0,4.0,3.0,no,yes,yes,no,94,63,79.0,82.0,74.66666666666667,yes,3,3.0,0,0,1,100.0,no,no
ba,yes,no,no,Black/Black British African,Female,yes,yes,no,3.0,yes,,no,no,no,113.0,5.0,3.0,no,yes,no,no,65,66,54.0,67.0,62.333333333333336,yes,3,3.0,0,5,0,100.0,yes,no
ba,yes,no,no,White,Male,no,no,yes,3.0,no,,no,no,no,98.0,,8.0,yes,no,no,,70,44,61.0,41.0,48.666666666666664,yes,3,3.0,0,4,0,100.0,yes,no
ba,yes,no,no,Asian,Female,no,no,yes,,no,,yes,no,no,100.0,6.0,5.0,no,no,no,no,97,68,66.0,64.0,66.0,yes,4,2.0,0,1,0,100.0,no,no
ba,yes,no,yes,White,Male,no,no,no,3.0,yes,,no,no,yes,95.0,2.0,2.0,no,yes,no,yes,89,72,40.0,76.0,62.666666666666664,yes,5,1.0,0,1,1,100.0,no,no
ba,yes,no,no,Other ethnic background,Female,no,yes,no,,no,,yes,no,no,114.0,,,no,no,no,no,68,76,57.0,84.0,72.33333333333333,yes,4,2.0,0,0,1,100.0,no,no
ba,yes,no,no,Asian,Female,no,no,no,,no,,yes,no,no,106.0,4.0,4.0,yes,no,no,no,66,58,75.0,55.0,62.666666666666664,yes,4,2.0,0,0,0,100.0,no,no
ba,yes,no,no,Asian,Male,yes,yes,yes,5.0,no,,no,no,yes,104.0,5.0,6.0,yes,no,no,no,96,49,57.0,69.0,58.333333333333336,yes,4,2.0,0,4,1,100.0,no,no
